no,name,price,type,area,bedrooms,bathrooms,receptions,district,city,postcode
74,Ballantine Street,1200000,House,1378,3,3,3, Wandsworth,London,SW18 1AL
75,Freshford Street,1200000,House,1751,4,4,4, Wandsworth,London,SW18 3TF
76,Swanage Road,1600000,House,2330,5,5,5,Wandsworth,London,SW18 2DZ
77,Arlesey Close,799000,House,1214,3,3,3,Putney,London,SW15 2EX
78,Disraeli Road,850000,Flat / Apartment,876,2,2,2,Putney,London,SW15 2DZ
79,Chestnut Court,500000,Flat / Apartment,872,2,2,2, Northwood,London,HA6 3NL
80,Montagu Mews North,2500000,House,1323,3,3,3,Marylebone,London,W1H 2JR
81,Albion Street,3950000,House,2547,4,4,4,Hyde Park,London,W2 2AS
82,Eaton Row,2995000,House,1393,3,3,3,,London,SW1W 0JA
83,Redcliffe Gardens,995000,Flat / Apartment,888,1,1,1,,London,SW10 9JJ
84,Gerrard Road,2250000,House,1857,4,4,4,,London,N1 8BA
85,New North Road,749950,Flat / Apartment,855,2,2,2,,London,N1 6JB
86,ICON7,420000,New development,538,1,1,1, Holloway,London,N7 0JN
87,Richmond Road,424995,Flat / Apartment,422,1,1,1,Hackney,London,E8 3AA
88,The Pryors,2150000,Flat / Apartment,2074,4,4,4,East Heath Road,London,NW3 1BP
89,Bishops Road,1500000,House,1645,3,3,3,Fulham,London,SW6 7AB
90,Gosberton Road,1575000,House,2115,4,4,4,,London,SW12 8LQ
91,Hearnville Road,1500000,House,2242,5,5,5,,London,SW12 8RR
92,Discovery Dock Apartments West,550000,Flat / Apartment,600,1,1,1, Canary Wharf,London,E14 9RT
93,Wilmington Square,475000,Flat / Apartment,381,1,1,1,Clerkenwell,London,WC1X 0EG
94,Nevill Court,595000,Flat / Apartment,791,2,2,2,Edith Terrace,London,SW10 0TL
95,Ferry Road,2250000,House,2937,6,6,6,Barnes,London,SW13 9PR
96,Waldemar Avenue,755000,Flat / Apartment,907,3,3,3,,London,SW6 5LN
97,Battersea Church Road,900000,Flat / Apartment,1218,3,3,3,Battersea,London,SW11 3ND
98,Buckingham Gate,1990000,Flat / Apartment,1560,2,2,2,St. James's,London,SW1E 6LB
99,South Park Road,1195000,House,1464,3,3,3,Wimbledon,London,SW19 8SZ
100,Garratt Lane,450000,Flat / Apartment,696,2,2,2,,London,SW18 4EE
101,Cadogan Terrace,325000,Flat / Apartment,339,1,1,1,Victoria Park,London,E9 5HP
102,Hassett Road,1150000,House,1541,4,4,4,,London,E9 5SL
103,Sterling House,850000,Flat / Apartment,1456,2,2,2, Putney,London,SW15 6AR
104,Boatman's Court,879000,New development,1004,2,2,2, Putney,London,SW15 1PP
105,Comyn Road,1295000,House,1875,5,5,5,,London,SW11 1QB
106,Hightrees House,575000,Flat / Apartment,695,2,2,2,Nightingale Lane,London,SW12 8AH
107,Green Street,4100000,Flat / Apartment,1496,2,2,2,Mayfair,London,W1K 6RG
108,Morton Road,1800000,House,1919,3,3,3,Islington,London,N1 3BD
109,Highbury Gardens,649950,Flat / Apartment,804,2,2,2,52 Holloway Road,London,N7 8BW
110,Crediton Hill,899950,Flat / Apartment,1143,2,2,2,West Hampstead,London,NW6 1HR
111,Moore Park Road,1999950,New development,1848,3,3,3,,London,SW6 4PS
112,Southborough Road,1995000,New development,3510,5,5,5,Surbiton,London,KT6 6JN
113,Queen's Gate Gardens,1595000,Flat / Apartment,1170,2,2,2,Kensington,London,SW7 5RR
114,United House,499000,New development,690,2,2,2,Mayflower Street,London,SE16 4JL
115,Three Riverside,3410000,Penthouse,2852,4,4,4,Riverside Quarter,London,SW18 1PP
116,Onslow Gardens,6750000,Flat / Apartment,2823,5,5,5,,London,SW7 3QB
117,Ensor Mews,2850000,House,1724,3,3,3,,London,SW7 3BT
118,Roland Gardens,1895000,Flat / Apartment,1474,3,3,3,,London,SW7 3PE
119,Wardo Avenue,1650000,House,1756,4,4,4,Fulham,London,SW6 6RB
120,Kinnoul Road,1225000,House,1806,4,4,4,Fulham,London,W6 8NQ
121,Stanlake Road,1100000,House,2145,5,5,5,,London,W12 7HG
122,Spencer Hill,1095000,House,950,2,2,2,Wimbledon,London,SW19 4PA
123,Kingston Hill,2395000,House,3498,5,5,5,Kingston upon Thames,London,KT2 7LN
124,Upton Court,550000,Flat / Apartment,904,2,2,2, Wimbledon,London,SW20 8JB
125,Earlsfield Road,1500000,House,2583,5,5,5, Wandsworth,London,SW18 3DA
126,Dempster Road,750000,Flat / Apartment,911,2,2,2, Wandsworth,London,SW18 1AS
127,Atheldene Road,1150000,House,1822,5,5,5, Wandsworth,London,SW18 3BN
128,Townshend Court,665000,Flat / Apartment,647,2,2,2,Shannon Place,London,NW8 7DP
129,Hamilton Terrace,1250000,Flat / Apartment,1036,2,2,2,St. John's Wood,London,NW8 9UJ
130,St. Johns Road,1895000,House,2564,5,5,5,Richmond,London,TW9 2PE
131,James House,600000,Flat / Apartment,632,2,2,2,70 Webb's Road,London,SW11 6SE
132,Broomwood Road,700000,Flat / Apartment,946,2,2,2,,London,SW11 6JX
133,Bolingbroke Grove,2450000,House,3020,6,6,6,Clapham,London,SW11 6ES
134,Lowndes Square,1750000,Flat / Apartment,853,2,2,2,,London,SW1X 9HA
135,Eagle Wharf Road,895000,New development,1033,3,3,3,Islington,London,N1 7EG
136,Youngs Court,1000000,Flat / Apartment,884,1,1,1, Hampstead,London,NW3 1DD
137,Moore Park Road,2300000,House,2124,4,4,4,Fulham,London,SW6 2HH
138,Montpellier Road,375000,Flat / Apartment,444,1,1,1,Ealing,London,W5 2QS
139,Esher Place Avenue,2150000,House,3177,5,5,5,Esher,London,KT10 8PY
140,Common Road,785000,New development,1474,3,3,3, Esher,London,KT10 0HG
141,Bolander Grove,725000,New development,591,1,1,1,,London,SW6 1EY
142,Sheen Road,2850000,House,5130,7,7,7,Richmond,London,TW10 5AL
143,Birds Hill Drive,5950000,New development,11716,6,6,6,Oxshott,London,KT22 0SW
144,Ashley Gardens,985000,Flat / Apartment,1140,2,2,2,Thirleby Road,London,SW1P 1HN
145,St. Ann's Crescent,585000,Flat / Apartment,795,2,2,2,,London,SW18 2ND
146,Herndon Road,995000,House,1993,5,5,5,Wandsworth,London,SW18 2DG
147,Claremont Court,550000,Flat / Apartment,666,2,2,2, Shoreditch,London,E2 6DE
148,Eaton Square,7300000,Flat / Apartment,2230,3,3,3,Belgravia,London,SW1W 9DH
149,Elsworthy Terrace,1250000,Flat / Apartment,885,2,2,2,Primrose Hill,London,NW3 3DR
150,Radnor Mews,3750000,House,2396,4,4,4,Hyde Park Estate,London,W2 2SA
151,Thornton Place,430000,Studio,514,1,1,1,Clapham Common North Side,London,SW4 0AB
152,Thornton Place,830000,Flat / Apartment,891,2,2,2,Clapham Common North Side,London,SW4 0AB
153,Pearson Square,1100000,Flat / Apartment,635,1,1,1,Fitzrovia,London,W1T 3BJ
154,John Adam Street,3100000,New development,1410,3,3,3,Covent Garden,London,WC2N 6LU
155,Vicarage Gate,925000,Flat / Apartment,706,1,1,1,,London,W8 4HH
156,Pyrland Road,2650000,House,3319,6,6,6,Highbury,London,N5 2JA
157,Elwood House,450000,Flat / Apartment,569,2,2,2,Hurlock Street,London,N5 1EU
158,Dalston Square,650000,Flat / Apartment,720,2,2,2,Hackney,London,E8 3GT
159,Lyncroft Mansions,799950,Flat / Apartment,956,2,2,2, West Hampstead,London,NW6 1JY
160,Chelsea Vista,1250000,Penthouse,1209,2,2,2, Fulham,London,SW6 2SD
161,Ashburnham Park,2995000,House,5614,6,6,6,Esher,London,KT10 9TW
162,Claremont Drive,2250000,House,3661,4,4,4,Esher,London,KT10 9LU
163,Sandown Road,2995000,House,7087,7,7,7,Esher,London,KT10 9TT
164,Pavilion Park,1100000,New development,1629,3,3,3, East Molesey,London,KT8 9DX
165,Berwyn Road,3350000,House,3770,6,6,6,Richmond,London,TW10 5BP
166,St John Street,775000,Flat / Apartment,810,1,1,1,Clerkenwell,London,EC1V 4LD
167,Meon Road,800000,House,1080,3,3,3,Acton,London,W3 8AN
168,Beverley Close,1850000,House,1735,4,4,4,Barnes,London,SW13 0EH
169,Cambridge Road,1500000,House,1108,3,3,3,Barnes,London,SW13 0PG
170,Davisville Road,1695000,House,2147,5,5,5,,London,W12 9SJ
171,Fladgate House,750000,Flat / Apartment,686,1,1,1, Battersea,London,SW11 8EU
172,York Mansions,1985000,Flat / Apartment,1492,3,3,3, Battersea,London,SW11 4BW
173,Hamilton Terrace,1100000,Flat / Apartment,1125,2,2,2,St. John's Wood,London,NW8 9UJ
174,Seward Street,650000,Flat / Apartment,674,2,2,2,Clerkenwell,London,EC1V 3PA
175,Bloomfield Terrace,4500000,House,2145,3,3,3,Belgravia,London,SW1W 8PG
176,Westbourne Park Road,4750000,New development,2552,4,4,4,Notting Hill,London,W2 5PH
177,Scotland Road,995000,House,1706,5,5,5,Buckhurst Hill,London,IG9 5NP
178,Hampstead Lane,2150000,House,2172,3,3,3,Highgate,London,N6 4RT
179,Corfton Road,695000,Flat / Apartment,964,2,2,2,Ealing,London,W5 2HT
180,Barton Road,575000,Flat / Apartment,573,2,2,2,,London,W14 9HA
181,Bramham Gardens,1950000,Flat / Apartment,966,2,2,2,,London,SW5 0HQ
182,Stonehill Road,2000000,House,2365,4,4,4,,London,SW14 8RW
183,Teal Court,1100000,Flat / Apartment,816,2,2,2,Star Place,London,E1W 1AB
184,Louisville Road,1550000,House,2500,5,5,5,,London,SW17 8RL
185,HKR,649999,New development,569,1,1,1,211-227 Hackney Road,London,E2 8NA
186,St. Albans Avenue,1500000,House,1868,5,5,5,Chiswick,London,W4 5JR
187,The Lindens,725000,House,960,3,3,3,Hartington Road,London,W4 3UQ
188,Shorrolds Road,785000,Flat / Apartment,739,2,2,2,,London,SW6 7TP
189,Wetherell Road,400000,Flat / Apartment,491,1,1,1,South Hackney,London,E9 7DS
190,Wieland Road,1395000,House,2141,4,4,4,Northwood,London,HA6 3RD
191,Ravenswood Park,799950,House,1519,4,4,4,Northwood,London,HA6 3PS
192,Grove Lane,975000,Bungalow,2169,3,3,3,Chigwell,London,IG7 6JD
193,Cadogan Place,4750000,House,2157,4,4,4,Belgravia,London,SW1X 9RP
194,Highbury New Park,899950,Flat / Apartment,947,2,2,2,,London,N5 2ET
195,Offord Road,925000,Flat / Apartment,931,2,2,2,Islington,London,N1 1EA
196,Linver Road,1800000,House,1776,5,5,5,Fulham,London,SW6 3RB
197,Perrymead Street,2950000,House,3144,6,6,6,Fulham,London,SW6 3SW
198,Doulton House,795000,New development,825,2,2,2, Fulham,London,SW6 2FS
199,Regal House,795000,Flat / Apartment,798,2,2,2, Imperial Wharf,London,SW6 2GZ
200,Fitzroy House,499999,Flat / Apartment,452,1,1,1, Longfield Avenue,London,W5 2QY
201,Herne Road,1450000,House,2523,4,4,4,Surbiton,London,KT6 5BX
202,Columbia Gardens,780000,New development,558,1,1,1,,London,SW6 1FU
203,Cleveley Court,398000,New development,461,1,1,1,Ashton Reach,London,SE16 7EP
204,Amelia Street,570000,Flat / Apartment,680,2,2,2,,London,SE17 3BZ
205,Alston Road,625000,House,1007,2,2,2,,London,SW17 0TR
206,Thorne Street,1150000,House,1259,3,3,3,Barnes,London,SW13 0PT
207,Seward Street,655000,Flat / Apartment,703,2,2,2,Clerkenwell,London,EC1V 3PA
208,Hamond Square,375000,Flat / Apartment,482,1,1,1,Hoxton,London,N1 5JQ
209,Oppidans Road,2395000,House,2221,4,4,4,Primrose Hill,London,NW3 3AG
210,Cairns Road,670000,Flat / Apartment,614,2,2,2,,London,SW11 1ES
211,Broomwood Road,1450000,House,1792,5,5,5,,London,SW11 6JZ
212,Cleveland Street,1750000,Flat / Apartment,2203,3,3,3,Fitzrovia,London,W1T 6NG
213,Kinnerton Street,2250000,House,1673,3,3,3,,London,SW1X 8EA
214,Liverpool Road,1295000,Penthouse,1424,3,3,3,,London,N1 1LA
215,Palewell Park,1750000,House,2435,4,4,4,,London,SW14 8JH
216,Gaskarth Road,700000,Flat / Apartment,707,2,2,2,,London,SW12 9NL
217,Grange Road,2100000,House,2137,5,5,5,Barnes,London,SW13 9RE
218,Latchmere Road,775000,House,1414,4,4,4,Battersea,London,SW11 2DT
219,Killarney Road,1575000,House,2379,5,5,5,Wandsworth,London,SW18 2DX
220,Grove House,650000,Flat / Apartment,1091,3,3,3,27 Frampton Park Road,London,E9 7PQ
221,Holland Park Villas,8750000,New development,2755,3,3,3,6 Campden Hill,London,W8 7AD
222,Portland Terrace,775000,Flat / Apartment,705,2,2,2, Richmond,London,TW9 1QQ
223,Eastbury Road,975000,House,1200,3,3,3,Northwood,London,HA6 3AJ
224,Hidcote Apartments,699999,New development,878,2,2,2,5 Danvers Avenue,London,SW11 1AN
225,Stonehill Road,2250000,House,2344,5,5,5,,London,SW14 8RW
226,Palewell Park,1750000,House,2540,5,5,5,East Sheen,London,SW14 8JQ
227,Burnaby Crescent,1380000,House,1737,5,5,5,Chiswick,London,W4 3LH
228,Chatsworth Place,1595000,House,3069,5,5,5,Oxshott,London,KT22 0SS
229,Castelnau,5500000,House,4666,7,7,7,Barnes,London,SW13 9EL
230,Denmark Avenue,3050000,House,3717,5,5,5,Wimbledon,London,SW19 4HF
231,Thornton Hill,2350000,House,3594,5,5,5,Wimbledon,London,SW19 4HU
232,Abernethy House,1600000,New development,1018,2,2,2,Barts Square,London,EC1A 7BD
233,Cadogan Gardens,6950000,Flat / Apartment,1840,3,3,3,,London,SW3 2RJ
234,Egerton Place,5250000,Flat / Apartment,2026,3,3,3,Knightsbridge,London,SW3 2EF
235,Lowndes Square,3375000,Flat / Apartment,913,2,2,2,Knightsbridge,London,SW1X 9HD
236,Lancaster Close,1700000,Flat / Apartment,1138,3,3,3,13-15 St. Petersburgh Place,London,W2 4JZ
237,Maddox Street,4650000,Penthouse,2231,4,4,4,Mayfair,London,W1S 1NR
238,New Hereford House,2100000,Flat / Apartment,1074,2,2,2, Mayfair,London,W1K 7JB
239,Trevor Street,7950000,House,3247,4,4,4,,London,SW7 1DX
240,Carriage House,390000,New development,506,1,1,1,2  City North Place,London,N4 3FS
241,Rosaville Road,1650000,House,1684,4,4,4,,London,SW6 7BN
242,Barkston Gardens,2000000,Flat / Apartment,1997,4,4,4,Earl's Court,London,SW5 0ER
243,Upper Richmond Road West,1225000,House,1633,4,4,4,Richmond,London,TW10 5DY
244,Calbourne Road,1585000,House,2055,4,4,4,,London,SW12 8LW
245,Trinity Road,4250000,House,4774,7,7,7,Wandsworth,London,SW18 3SN
246,Fulham Road,3950000,House,2815,4,4,4,,London,SW10 9UG
247,Queens Ride,6500000,House,5196,6,6,6,,London,SW13 0JF
248,1 Eastfields Avenue,985000,Flat / Apartment,1295,3,3,3,Putney,London,SW18 1FQ
249,Charlwood Place,1500000,Flat / Apartment,1275,3,3,3,Pimlico,London,SW1V 2LX
250,Buckingham Gate,465000,Flat / Apartment,543,1,1,1,,London,SW1E 6PA
251,Effra Road,950000,House,1357,3,3,3,Wimbledon,London,SW19 8PR
252,Kingholme House,699950,Flat / Apartment,786,2,2,2, Wimbledon,London,SW19 4RD
253,East Hill,725000,Flat / Apartment,1134,2,2,2,Wandsworth,London,SW18 2QE
254,Townshend Court,465000,Flat / Apartment,473,1,1,1,Shannon Place,London,NW8 7DP
255,Mortimer Court,500000,Flat / Apartment,451,1,1,1,Abbey Road,London,NW8 9AB
256,Rutland Gate,5750000,Flat / Apartment,2524,3,3,3,Knightsbridge,London,SW7 1PJ
257,Chevalier House,5450000,Flat / Apartment,1650,2,2,2,60 Brompton Road,London,SW3 1BW
258,Queens Road,775000,House,1169,3,3,3,,London,TW1 4ET
259,Church Road,550000,Flat / Apartment,676,2,2,2,Richmond,London,TW10 6LN
260,High Road,1500000,House,4023,7,7,7, Coulsdon,London,CR5 3QN
261,Eastfields Avenue,775000,Flat / Apartment,820,2,2,2,Putney,London,SW18 1GN
262,Ormonde Court,699950,Penthouse,907,2,2,2, Putney,London,SW15 6TR
263,Sisters Avenue,1550000,House,2052,4,4,4,,London,SW11 5SW
264,Crockerton Road,1850000,House,3247,7,7,7,,London,SW17 7HG
265,Pullman Court,249999,Flat / Apartment,458,1,1,1,Streatham Hill,London,SW2 4ST
266,Clifton Road,3300000,House,3448,4,4,4,Little Venice,London,W9 1SZ
267,Pearson Square,1600000,Flat / Apartment,1402,2,2,2,Fitzrovia,London,W1T 3BJ
268,Portland Chambers,1790000,Penthouse,890,2,2,2, Fitzrovia,London,W1W 6RP
269,Bryanston Court,4950000,Flat / Apartment,2817,6,6,6, Marylebone,London,W1H 7HB
270,Green Street,2250000,Flat / Apartment,987,2,2,2,,London,W1K 6RG
271,Green Street,2650000,Flat / Apartment,1027,2,2,2,Mayfair,London,W1K 6RG
272,Whitehall Lane,1000000,House,2000,4,4,4,Buckhurst Hill,London,IG9 5JG
273,Baldwins Hill,1250000,House,2244,4,4,4,Loughton,London,IG10 1SD
274,Bishops Gate,990000,New development,820,2,2,2,82-88 Fulham High Street,London,SW6 3LF
275,Barts Square,1650000,New development,1259,3,3,3, Smithfield Market,London,EC1A 9DS
276,Cubitt Building,765000,New development,618,1,1,1,10 Gatliff Road,London,SW1W 8QL
277,Gainsborough Studios West,1100000,Flat / Apartment,1095,2,2,2, Shoreditch,London,N1 5EA
278,Middleton Road,474950,Flat / Apartment,540,1,1,1,Hackney,London,E8 4BS
279,Pond Street,2450000,Penthouse,1879,3,3,3,Hampstead,London,NW3 2PS
280,Clark House,650000,Flat / Apartment,668,1,1,1, Hampstead,London,NW3 7AT
281,Corfton Road,499950,Flat / Apartment,603,1,1,1,,London,W5 2HT
282,Corfton Road,449950,Flat / Apartment,539,1,1,1,,London,W5 2HT
283,Manor Road South,1349950,House,2986,5,5,5,Esher,London,KT10 0QQ
284,Grove Road,1350000,House,1890,4,4,4,East Molesey,London,KT8 9JS
285,The Granary,375000,Flat / Apartment,961,2,2,2, Barwell Lane,London,KT9 2LZ
286,Milbourne Lane,625000,House,968,3,3,3,Esher,London,KT10 9EA
287,Matham Road,2250000,House,4312,5,5,5,East Molesey,London,KT8 0SX
288,Sandown Road,2350000,House,3861,5,5,5,Esher,London,KT10 9TU
289,Manor Drive,900000,House,1437,3,3,3,Esher,London,KT10 0AU
290,Cornwall Gardens,395000,Flat / Apartment,734,2,2,2,,London,SW7 4BE
291,Spruce House,1000000,Penthouse,1539,2,2,2,4 Woodland Crescent,London,SE16 6YG
292,Emmanuel Road,825000,Flat / Apartment,1517,3,3,3,,London,SW12 0HF
293,Brandreth Road,1600000,House,2340,5,5,5,,London,SW17 8ER
294,Ziggurat Building,1250000,Flat / Apartment,1085,2,2,2, Clerkenwell,London,EC1N 8QX
295,Swanscombe Road,1100000,House,1112,3,3,3,Chiswick,London,W4 2HQ
296,Hamilton Road,1200000,House,1517,4,4,4,Chiswick,London,W4 1AL
297,Castelnau,4000000,House,5108,5,5,5,Barnes,London,SW13 9EX
298,Chester Close,1250000,House,1952,3,3,3, Barnes,London,SW13 0JE
299,Matheson Road,430000,Flat / Apartment,477,1,1,1,,London,W14 8SN
300,Batoum Gardens,635000,Flat / Apartment,556,2,2,2,,London,W6 7QB
301,Wood Crescent,1000000,New development,960,2,2,2,,London,W12 7GS
302,Lime Grove,420000,Flat / Apartment,783,2,2,2,,London,W12 8EE
303,Prince of Wales Mansions,699950,Flat / Apartment,816,2,2,2,Prince of Wales Drive,London,SW11 4BG
304,Primrose Mansions,585000,Flat / Apartment,552,1,1,1,Prince of Wales Drive,London,SW11 4EE
305,Frere Street,800000,House,1148,3,3,3,Battersea,London,SW11 2JA
306,Newlands Close,375000,House,880,3,3,3, Walton-on-Thames,London,KT12 4PW
307,Jessica Road,1450000,House,2131,4,4,4,Wandsworth,London,SW18 2QL
308,Rosehill Road,2000000,House,2518,5,5,5,Wandsworth,London,SW18 2NX
309,Carlton Hill,995000,Flat / Apartment,814,2,2,2,St John's Wood,London,NW8 0EN
310,Albany,3250000,Flat / Apartment,917,2,2,2,Piccadilly,London,W1J 0AX
311,The Green,4495000,House,4063,6,6,6,Richmond,London,TW9 1PX
312,Sandy Lane,1350000,Bungalow,2912,4,4,4,Northwood,London,HA6 3ER
313,Devonshire Street,875000,Flat / Apartment,570,2,2,2,Marylebone,London,W1G 6PY
314,Luxborough Street,750000,Flat / Apartment,633,2,2,2,Marylebone,London,W1U 5BS
315,Pelham Place,7500000,House,2693,4,4,4,South Kensington,London,SW7 2NQ
316,Cottesmore Court,5950000,Penthouse,3002,4,4,4,Stanford Road,London,W8 5QL
317,Hyde Park Gate,3750000,Flat / Apartment,1925,3,3,3,,London,SW7 5DT
318,Holland Park Villas,7600000,New development,2238,3,3,3, Kensington,London,W8 7AF
319,The Rectangular Tower,565000,New development,739,2,2,2,3 City North Place,London,N4 2DH
320,Cloudesley Place,1435000,House,1341,3,3,3,Islington,London,N1 0JA
321,Packington Street,1295000,New development,1321,2,2,2,,London,N1 8RA
322,Hertford Road,485000,Flat / Apartment,822,2,2,2,De Beauvoir,London,N1 4SN
323,River Bank,520000,Flat / Apartment,944,2,2,2,East Molesey,London,KT8 9BH
324,Vicarage Road,2350000,House,2281,4,4,4,,London,SW14 8RU
325,Fernside Road,1350000,House,1805,4,4,4,,London,SW12 8LJ
326,Junction House,545000,New development,691,1,1,1, Battersea,London,SW11 2NU
327,Junction House,640000,New development,691,2,2,2, Battersea,London,SW11 2NU
328,Junction House,545000,New development,577,1,1,1, Battersea,London,SW11 2NU
329,Carlton Drive,1850000,Penthouse,2120,3,3,3,Putney,London,SW15 2BS
330,Carlton Drive,1460000,New development,1399,3,3,3,Putney,London,SW15 2BS
